"";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location"
"340";2;2;2;2;2;2;2;2;2;2;1;1;1;0;1;0;1;1;2;0;3;4;1;40;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"341";2;2;2;3;3;2;2;3;2;1;3;1;2;0;0;0;1;1;2;1;6;3;0;25;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"342";3;3;3;2;2;1;1;3;1;1;1;2;1;1;0;1;1;0;1;0;4;1;0;39;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"343";1;5;4;1;1;1;1;1;1;1;4;1;1;0;0;0;1;1;2;1;3;NA;0;46;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi"
"344";2;1;1;4;4;3;3;3;1;1;2;3;3;1;0;0;1;1;1;0;NA;6;1;39;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"345";2;2;2;2;2;2;2;1;2;2;2;2;2;0;1;1;1;1;2;0;NA;4;1;33;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"346";2;2;2;2;2;2;2;2;1;1;1;1;2;0;0;0;1;0;2;0;NA;3;1;42;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"347";2;2;2;3;3;2;2;3;2;1;1;2;2;0;0;0;1;1;1;NA;NA;3;1;19;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"348";3;4;4;3;3;3;3;2;3;3;3;3;3;0;0;1;1;1;1;0;NA;5;1;36;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"349";1;1;1;3;3;1;1;3;3;1;1;1;1;0;0;0;1;1;2;0;4;2;0;57;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"350";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;2;0;3;2;1;46;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"351";1;1;1;2;2;1;1;4;2;2;4;2;1;0;1;0;1;1;2;0;3;5;0;32;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"352";2;1;1;3;3;1;1;4;3;1;3;2;1;0;0;0;1;1;2;0;6;4;1;43;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"353";1;1;1;2;2;1;1;2;2;1;2;1;1;0;0;0;1;1;2;0;6;3;1;35;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"354";1;1;1;1;1;1;1;4;1;1;1;1;1;0;0;0;1;1;2;1;3;5;0;39;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"355";2;2;2;1;1;3;3;1;2;2;1;1;2;0;0;0;1;1;2;0;3;4;0;31;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"356";2;2;2;2;2;2;2;2;1;1;1;1;2;0;0;0;1;1;2;1;4;3;0;23;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"357";1;2;2;2;2;1;1;2;1;1;1;1;1;0;0;0;1;1;2;0;4;3;0;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"358";2;2;2;2;2;2;2;1;1;1;1;1;1;0;0;0;1;1;1;0;4;3;1;45;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"359";3;2;2;3;3;3;3;1;2;3;1;2;1;0;1;1;1;1;NA;0;2;4;1;40;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
